AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r
0.1903055856418878;0.09412311039424422;-0.012584544476113714;0.012575937685152057;-0.002057844059387685;-0.020625850497260415;0.0002779499259036672;-0.0024576943756692586;0.009044173402957004;0.0005806721343899043;0.002636129613466199;0.01614640139678903;-0.0031679354483758683;-0.009413266395849825;0.05092783530770229;0.037771469407654135;0.06132552605227345
0.09412311039424422;0.07821628232831167;-0.005649682066465844;0.011664264297917646;0.003581238487417084;-0.0023815464262707765;0.00247363605583483;0.0037901401451666643;0.008131428894840193;0.002715733125914512;0.0015134090594048283;0.008198653729901874;-0.0001588893070610126;-0.0009539663054938198;0.03320346653790245;0.019882926445388766;0.023903834200120832
-0.012584544476113714;-0.005649682066465844;0.4527075615207658;-0.0005850785044674836;0.0743156754841704;0.32872270596127773;0.03307678167745666;0.0719259763410964;-0.0009623551322488245;0.015829252732752774;0.01375502471683983;0.050743422243954346;0.017678038525364422;-0.00709274640985863;0.06988216032349337;0.08066029952396991;-0.0019443231557596085
0.012575937685152057;0.011664264297917646;-0.0005850785044674836;0.016999120476780653;-0.0002528212929301067;-0.005154138092028731;-0.0010956552590570198;-0.00015287736869443985;0.0006169462558932127;-0.0012074519270833693;0.00014662848486924482;0.0006986346003030438;-0.00024072486158652944;-0.0006110581891072619;0.009137091297892388;0.01263656809431183;-0.006188863585533916
-0.002057844059387685;0.003581238487417084;0.0743156754841704;-0.0002528212929301067;0.17712008559800305;0.2283222577540755;0.051357443101202986;0.19499307587265133;0.10620923284526408;0.08890329522867634;0.0054616140417752404;0.00976691585388176;0.03427240455315121;0.006246207158768352;0.16871813653005963;-0.010157946432367516;0.017830347744843555
-0.020625850497260415;-0.0023815464262707765;0.32872270596127773;-0.005154138092028731;0.2283222577540755;0.721686572213157;0.08509001605355622;0.30293106355008137;0.11303310277740161;0.08278737193875746;0.017167271538119547;0.022283556078207183;0.036180677579044675;0.008805660872155872;0.2723056716577309;0.0485048164066573;0.03745394254574029
0.0002779499259036672;0.00247363605583483;0.03307678167745666;-0.0010956552590570198;0.051357443101202986;0.08509001605355622;0.08101981651411667;0.0889109177169712;0.030253722199321216;0.02188639989928698;0.006740789695229967;0.0034688780411020544;0.006199463939185899;-0.005836759730523435;0.13693382864835302;0.001235291852812747;0.02457685275401256
-0.0024576943756692586;0.0037901401451666643;0.0719259763410964;-0.00015287736869443985;0.19499307587265133;0.30293106355008137;0.0889109177169712;0.39547440707859055;0.1415857357889248;0.09382280953879076;0.021959737333534055;0.015250957192656383;0.028294169370521077;-0.015562685192110416;0.37972164555493704;0.004591606188140631;0.021938053907266695
0.009044173402957004;0.008131428894840193;-0.0009623551322488245;0.0006169462558932127;0.10620923284526408;0.11303310277740161;0.030253722199321216;0.1415857357889248;0.12581688497694357;0.06956687512238079;0.002164282387572476;-0.014311622296574386;0.029554408673460455;0.004907789532277974;0.1750743921780688;-0.013814567745867796;0.023964416268126888
0.0005806721343899043;0.002715733125914512;0.015829252732752774;-0.0012074519270833693;0.08890329522867634;0.08278737193875746;0.02188639989928698;0.09382280953879076;0.06956687512238079;0.10067355458005547;0.00584305846409253;0.015213304365933539;0.03437965649675069;0.021109652599537766;0.07946065050312157;-0.014532806433208813;0.015445935172697597
